dog_id,oc_primary_census_division__1.0,oc_primary_census_division__2.0,oc_primary_census_division__3.0,oc_primary_census_division__4.0,oc_primary_census_division__5.0,oc_primary_census_division__6.0,oc_primary_census_division__7.0,oc_primary_census_division__8.0,oc_primary_census_division__9.0
87428,False,True,False,False,False,False,False,False,False
37049,False,False,False,False,True,False,False,False,False
87212,False,True,False,False,False,False,False,False,False
13473,False,False,False,False,False,False,False,True,False
82476,False,False,False,False,False,False,False,True,False
4625,False,True,False,False,False,False,False,False,False
87176,False,False,False,False,True,False,False,False,False
24615,False,False,False,False,True,False,False,False,False
83971,False,False,False,False,False,False,False,False,True
84514,False,False,False,False,False,False,False,False,True
99844,False,False,False,False,True,False,False,False,False
95239,False,False,False,False,False,False,False,True,False
23613,False,False,False,False,False,False,False,False,True
24999,False,False,True,False,False,False,False,False,False
28680,False,False,False,False,False,False,False,True,False
88311,False,False,False,False,True,False,False,False,False
42260,False,False,False,False,False,False,True,False,False
36831,False,False,False,False,False,False,False,False,True
72592,False,False,False,True,False,False,False,False,False
102506,False,False,False,False,False,False,False,False,True
100426,False,False,False,False,False,False,True,False,False
30763,False,False,True,False,False,False,False,False,False
75217,False,False,False,False,True,False,False,False,False
74110,False,False,True,False,False,False,False,False,False
7463,False,False,False,False,False,False,False,True,False
28972,False,False,False,False,False,False,False,False,True
51415,False,False,False,False,True,False,False,False,False
70568,True,False,False,False,False,False,False,False,False
13353,False,False,False,False,True,False,False,False,False
57081,False,False,False,False,True,False,False,False,False
85954,False,False,False,False,True,False,False,False,False
92666,False,False,False,False,True,False,False,False,False
51758,False,False,True,False,False,False,False,False,False
98819,False,False,False,False,True,False,False,False,False
95532,False,False,False,False,False,False,False,True,False
61964,False,False,False,True,False,False,False,False,False
83410,False,True,False,False,False,False,False,False,False
70146,True,False,False,False,False,False,False,False,False
37264,False,False,True,False,False,False,False,False,False
91594,False,False,False,False,False,False,False,False,True
22330,False,False,False,False,False,False,False,True,False
48805,False,False,False,False,False,False,False,False,True
103199,False,False,False,False,True,False,False,False,False
95683,False,False,False,False,False,False,False,False,True
58077,False,False,False,False,False,True,False,False,False
9280,False,False,False,False,False,False,False,False,True
2381,False,False,False,False,False,False,False,False,True
15019,False,False,False,True,False,False,False,False,False
94953,False,False,True,False,False,False,False,False,False
42842,False,False,False,False,False,False,False,True,False
87328,False,False,False,False,False,False,False,False,True
34009,False,False,False,False,False,False,False,False,True
31014,False,False,False,False,False,False,False,True,False
32214,False,False,False,False,False,True,False,False,False
95231,False,False,False,False,False,False,False,False,True
60082,False,False,False,False,True,False,False,False,False
89538,False,False,True,False,False,False,False,False,False
53277,False,False,True,False,False,False,False,False,False
74311,False,False,True,False,False,False,False,False,False
5351,False,False,False,False,False,False,False,False,True
48556,False,False,False,False,False,False,True,False,False
15948,False,True,False,False,False,False,False,False,False
11690,False,False,False,True,False,False,False,False,False
54550,False,False,False,False,True,False,False,False,False
16086,False,False,False,False,False,False,False,False,True
79749,False,False,False,False,False,False,False,False,True
26537,False,False,False,False,True,False,False,False,False
29247,False,False,False,False,False,False,False,True,False
89294,False,False,False,False,True,False,False,False,False
31913,False,False,False,False,False,False,False,False,True
