dog_id,hs_health_conditions_eye,hs_health_conditions_ear,hs_health_conditions_oral,hs_health_conditions_skin,hs_health_conditions_cardiac,hs_health_conditions_respiratory,hs_health_conditions_gastrointestinal,hs_health_conditions_liver,hs_health_conditions_kidney,hs_health_conditions_reproductive,hs_health_conditions_orthopedic,hs_health_conditions_neurological,hs_health_conditions_endocrine,hs_health_conditions_hematologic,hs_health_conditions_immune,hs_health_conditions_infectious_disease,hs_health_conditions_toxin_consumption,hs_health_conditions_trauma,hs_health_conditions_cancer
91022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
95758,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24386,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37601,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32081,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100332,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
70566,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83685,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29926,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
95442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83508,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53322,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10880,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11183,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44979,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
79281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34068,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
11753,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
94428,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
79976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
54801,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0
88699,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27099,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54740,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52593,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18270,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1540,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
11481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80155,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
92893,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41347,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17431,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
82948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94806,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
5137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
87598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15440,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100321,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62046,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93243,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15649,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
93934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82711,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7781,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40593,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68759,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20089,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
94259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4828,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6377,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
38283,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94354,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58548,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
53629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57461,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
