dog_id,pa_hot_weather_daily_hours_outside,pa_cold_weather_daily_hours_outside,pa_moderate_weather_daily_hours_outside
81583,1.0,1.0,1.0
3017,2.0,1.0,1.0
9456,1.0,1.0,1.0
69957,1.0,1.0,1.0
85950,1.0,1.0,1.0
80205,5.0,5.0,5.0
84264,1.0,1.0,2.0
37556,1.0,2.0,2.0
27080,1.0,1.0,2.0
81807,5.0,5.0,1.0
60350,1.0,1.0,1.0
97209,5.0,5.0,5.0
22500,5.0,5.0,1.0
29870,1.0,1.0,1.0
13514,1.0,1.0,1.0
18984,1.0,1.0,1.0
89735,1.0,1.0,2.0
85701,1.0,2.0,3.0
55361,1.0,1.0,1.0
63827,5.0,1.0,1.0
68018,1.0,1.0,2.0
43729,1.0,1.0,2.0
21425,5.0,5.0,1.0
71342,2.0,1.0,2.0
65599,5.0,5.0,1.0
57453,2.0,1.0,2.0
5311,1.0,1.0,1.0
13529,1.0,2.0,2.0
88194,1.0,1.0,1.0
13014,2.0,2.0,2.0
73272,1.0,1.0,1.0
33661,1.0,1.0,1.0
57375,1.0,1.0,1.0
79511,2.0,2.0,2.0
103180,1.0,1.0,2.0
29993,1.0,1.0,2.0
93990,2.0,2.0,2.0
37797,1.0,1.0,1.0
73471,1.0,1.0,1.0
14661,1.0,1.0,1.0
97810,1.0,1.0,2.0
86445,5.0,5.0,1.0
63880,1.0,1.0,1.0
44305,2.0,1.0,2.0
12408,1.0,1.0,1.0
69507,1.0,1.0,1.0
93972,1.0,1.0,2.0
82760,1.0,1.0,1.0
36935,1.0,1.0,2.0
41002,5.0,5.0,5.0
3059,1.0,1.0,1.0
63065,5.0,1.0,1.0
23967,5.0,5.0,1.0
54227,5.0,5.0,1.0
2275,1.0,2.0,2.0
88908,1.0,1.0,1.0
54213,1.0,1.0,1.0
40288,1.0,1.0,1.0
92028,1.0,1.0,2.0
18461,1.0,1.0,2.0
38815,1.0,2.0,2.0
97490,1.0,1.0,1.0
74173,1.0,1.0,1.0
15887,1.0,1.0,1.0
1448,1.0,1.0,1.0
66751,1.0,1.0,1.0
94874,1.0,1.0,2.0
12412,1.0,2.0,2.0
88173,2.0,1.0,2.0
45438,1.0,1.0,1.0
60921,1.0,1.0,1.0
12887,1.0,1.0,1.0
51232,1.0,1.0,1.0
87811,1.0,1.0,1.0
88512,1.0,1.0,2.0
78318,1.0,1.0,2.0
90883,1.0,1.0,1.0
44669,5.0,5.0,1.0
49615,5.0,5.0,1.0
28759,2.0,2.0,2.0
56228,1.0,1.0,1.0
83939,1.0,1.0,2.0
74316,1.0,1.0,1.0
98501,2.0,2.0,2.0
93885,1.0,1.0,1.0
23477,5.0,5.0,5.0
71526,5.0,1.0,1.0
11483,2.0,1.0,4.0
43754,5.0,1.0,1.0
79609,1.0,1.0,1.0
59875,1.0,1.0,1.0
91118,1.0,1.0,1.0
78764,1.0,2.0,3.0
66795,1.0,1.0,1.0
77622,1.0,1.0,1.0
759,1.0,1.0,2.0
47421,2.0,1.0,1.0
60063,1.0,1.0,1.0
24792,1.0,1.0,1.0
6223,1.0,1.0,1.0
61519,5.0,5.0,1.0
40380,3.0,2.0,3.0
2696,1.0,1.0,1.0
1113,1.0,1.0,1.0
30477,1.0,1.0,1.0
14846,1.0,1.0,1.0
27373,1.0,5.0,1.0
50313,1.0,1.0,2.0
4470,1.0,1.0,1.0
45708,1.0,1.0,2.0
94494,1.0,1.0,1.0
36644,5.0,1.0,1.0
100679,1.0,1.0,2.0
3920,1.0,2.0,2.0
67816,1.0,1.0,1.0
16144,1.0,1.0,1.0
63686,1.0,1.0,1.0
95708,2.0,3.0,3.0
84439,5.0,5.0,1.0
78262,1.0,1.0,1.0
98353,1.0,1.0,1.0
13831,2.0,1.0,2.0
51035,1.0,1.0,1.0
27136,5.0,5.0,5.0
14042,2.0,2.0,2.0
65922,1.0,1.0,1.0
102628,1.0,1.0,1.0
75924,1.0,1.0,2.0
101149,2.0,2.0,2.0
94558,1.0,1.0,1.0
52952,1.0,1.0,1.0
89620,1.0,1.0,2.0
99837,1.0,1.0,2.0
50708,1.0,2.0,2.0
57720,2.0,1.0,2.0
39521,1.0,1.0,2.0
6804,1.0,1.0,1.0
100803,1.0,1.0,1.0
99138,1.0,1.0,1.0
49669,1.0,5.0,1.0
74769,1.0,1.0,2.0
11558,1.0,1.0,1.0
25858,1.0,1.0,1.0
68608,5.0,5.0,1.0
27482,1.0,1.0,2.0
62436,2.0,1.0,2.0
86335,1.0,1.0,1.0
2571,2.0,1.0,2.0
